#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937a53bf5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea2}&key:source=J/A+A/577/A128/tablea2&HTTPPRM:&
#-source=J/A+A/577/A128/tablea2
#-order=I
#-out=Karmn
#-out=PC1
#-out=TiO2
#-out=TiO5
#-out=VO-7912
#-out=Color-M
#-out=CaH2
#-out=CaH3
#-out=zeta
#-out=pEW(Ha)
#-out=e_pEW(Ha)
#-out=E_pEW(Ha)
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea2:
#Name: J/A+A/577/A128/tablea2
#Title: Spectral indices, zeta index and pEW(Halpha)
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	PC1	(F6.3)	PC1 spectral index (Martin et al. 1996ApJ...469..706M)	[ucd=spect.index]
#Column	TiO2	(F6.3)	TiO2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	TiO5	(F6.3)	TiO5 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	VO-7912	(F6.3)	VO-7912 spectral index (Martin et al. 1999AJ....118.2466M)	[ucd=spect.index]
#Column	Color-M	(F6.3)	Color-M spectral index (Lepine et al. 2003, Cat. J/AJ/125/1598)	[ucd=spect.index]
#Column	CaH2	(F6.3)	CaH2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	CaH3	(F6.3)	CaH3 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	zeta	(F6.3)	zeta metallicity spectral index (Lepine et al. 2007ApJ...669.1235L)	[ucd=spect.index]
#Column	pEW(Ha)	(F5.1)	Pseudo-equivalent width of Halpha line	[ucd=spect.line.eqWidth]
#Column	e_pEW(Ha)	(F4.1)	Error in pEW(Ha) (lower value)	[ucd=stat.error]
#Column	E_pEW(Ha)	(F4.1)	Error in pEW(Ha) (upper value)	[ucd=stat.error;stat.max]
Karmn|PC1|TiO2|TiO5|VO-7912|Color-M|CaH2|CaH3|zeta|pEW(Ha)|e_pEW(Ha)|E_pEW(Ha)
 | | | | | | | | |0.1nm|0.1nm|0.1nm
-------------|------|------|------|------|------|------|------|------|-----|----|----
J00066-070AB | 1.269| 0.492| 0.317| 1.148| 1.778| 0.404| 0.654| 0.973| -2.3| 0.5| 0.3
J00077+603AB | 1.198| 0.532| 0.369| 1.111| 1.405| 0.408| 0.631| 0.883| -6.7| 0.4| 0.3
J00115+591   | 1.511| 0.378| 0.202| 1.222| 2.902| 0.281| 0.564| 0.970| -1.6| 0.4| 0.2
J00118+229   | 1.215| 0.606| 0.405| 1.090| 1.404| 0.492| 0.751| 1.052| -0.5| 0.2| 0.2
J00119+330   | 1.167| 0.634| 0.427| 1.072| 1.293| 0.503| 0.748| 1.023| -0.3| 0.2| 0.1
J00122+304   | 1.296| 0.497| 0.354| 1.154| 1.755| 0.427| 0.685| 0.972| -8.7| 0.5| 0.4
J00133+275   | 1.296| 0.512| 0.339| 1.144| 1.805| 0.425| 0.686| 0.994| -4.0| 0.4| 0.2
J00136+806   | 1.027| 0.770| 0.601| 1.012| 0.901| 0.644| 0.812| 1.002|  0.0| 0.2| 0.2
J00146+202   | 0.955| 0.729| 0.520| 1.005| 0.643| 0.839| 0.946| 2.754|  0.8| 0.1| 0.1
J00152+530   | 1.090| 0.728| 0.540| 1.031| 1.076| 0.575| 0.787| 0.975|  0.0| 0.2| 0.2
J00162+198W  | 1.260| 0.553| 0.363| 1.122| 1.553| 0.450| 0.708| 1.010| -4.5| 0.4| 0.4
J00162+198E  | 1.271| 0.559| 0.367| 1.121| 1.663| 0.451| 0.731| 1.032| -0.5| 0.2| 0.1
J00183+440   | 0.990| 0.810| 0.638| 1.004| 0.892| 0.651| 0.818| 0.932|  0.0| 0.2| 0.2
J00228-164   | 1.229| 0.564| 0.378| 1.105| 1.478| 0.443| 0.691| 0.960| -2.7| 0.3| 0.3
J00240+264   | 1.266| 0.539| 0.350| 1.132| 1.705| 0.447| 0.710| 1.030| -1.9| 0.3| 0.3
J00253+235   | 1.006| 0.811| 0.644| 1.011| 0.934| 0.672| 0.840| 1.001|  0.0| 0.4| 0.4
J00297+012   | 0.997| 0.819| 0.665| 1.002| 0.877| 0.684| 0.844| 0.975|  0.0| 0.2| 0.2
J00313+336   | 0.945| 0.882| 0.778| 0.988| 0.779| 0.809| 0.895| 1.001|  0.0| 0.2| 0.2
J00313+001   | 1.138| 0.658| 0.474| 1.061| 1.183| 0.530| 0.758| 0.991| -0.4| 0.1| 0.1
J00322+544   | 1.338| 0.554| 0.349| 1.129| 1.798| 0.452| 0.738| 1.072| -0.4| 0.2| 0.1
J00328-045AB | 1.293| 0.561| 0.358| 1.131| 1.748| 0.451| 0.723| 1.038| -1.5| 0.1| 0.7
