#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937d63ccc	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea3}&key:source=J/A+A/577/A128/tablea3&HTTPPRM:&
#-source=J/A+A/577/A128/tablea3
#-order=I
#-out=Karmn
#-out=SpTl
#-out=r_SpTl
#-out=l_SpTb
#-out=SpTb
#-out=l_SpTc
#-out=SpTc
#-out=SpT2
#-out=SpT5
#-out=SpTP
#-out=SpTR
#-out=SpTC
#-out=l_SpT
#-out=SpT
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea3:
#Name: J/A+A/577/A128/tablea3
#Title: Spectral type from literature and our work
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	SpTl	(a15)	Spectral type from bibliography	[ucd=src.spType]
#Column	r_SpTl	(a16)	Reference for SpT from bibliography, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	l_SpTb	(A2)	[<= ] Limit flag on SpTb	[ucd=meta.code.error]
#Column	SpTb	(F4.1)	? Spectral type from best-fit match	[ucd=src.spType]
#Column	l_SpTc	(A2)	[<=> ] Limit flag on SpTc	[ucd=meta.code.error]
#Column	SpTc	(F4.1)	? Spectral type from chi2 match	[ucd=src.spType]
#Column	SpT2	(F4.1)	? Spectral type from TiO2 index	[ucd=src.spType]
#Column	SpT5	(F4.1)	? Spectral type from TiO5 index	[ucd=src.spType]
#Column	SpTP	(F4.1)	? Spectral type from PC1 index	[ucd=src.spType]
#Column	SpTR	(F4.1)	? Spectral type from VO-7912 index	[ucd=src.spType]
#Column	SpTC	(F4.1)	? Spectral type from Color-M index	[ucd=src.spType]
#Column	l_SpT	(A1)	Limit flag on SpT	[ucd=meta.code.error]
#Column	SpT	(a7)	Adopted spectral type	[ucd=src.spType]
Karmn|SpTl|r_SpTl|l_SpTb|SpTb|l_SpTc|SpTc|SpT2|SpT5|SpTP|SpTR|SpTC|l_SpT|SpT
 | | | | | | | | | | | | |
-------------|---------------|----------------|--|----|--|----|----|----|----|----|----|-|-------
J00066-070AB |M3.5V+m4.5:    |,Reid07, Jan12  |  | 4.5|  | 4.5| 4.5| 4.5| 4.0| 4.5| 4.5| |M4.5V
J00077+603AB |M4.5V          |Lep13           |  | 4.0|  | 4.0| 4.5| 4.0| 3.5| 4.0| 3.5| |M4.0V
J00115+591   |M5.5V          |Lep03           |  | 6.0|  | 6.0| 5.5| 6.0| 5.5| 5.5| 5.5| |M5.5V
J00118+229   |M3.5V          |Reid04          |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J00119+330   |M3.5V          |Giz97           |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J00122+304   |M5.0V          |Abe14           |  | 4.5|  | 4.5| 4.5| 4.0| 4.5| 5.0| 4.5| |M4.5V
J00133+275   |M4.5V          |Abe14           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J00136+806   |M1.5V          |PMSU            |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.5| 1.5| |M1.5V
J00146+202   |M2III          |,Gar89, Kir91   |  |    |  |    |    |    |    |    |    | |MIII
J00152+530   |M2.2V          |Mann13          |  | 2.5|  | 2.0| 2.5| 2.0| 2.5| 2.0| 2.5| |M2.5V
J00162+198W  |M4.0V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J00162+198E  |M4.0V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.0| 4.5| 4.5| 4.0| |M4.0V
J00183+440   |M1.0V          |PMSU            |  | 1.0|  | 1.5| 1.0| 1.5| 1.0| 1.0| 1.5| |M1.0V
J00228-164   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J00240+264   |M4.0V          |Abe14           |  | 4.0|  | 4.5| 4.0| 4.0| 4.0| 4.5| 4.5| |M4.0V
J00253+235   |               |                |  | 1.5|  | 1.5| 1.0| 1.0| 1.0| 1.5| 1.5| |M1.5V
J00297+012   |               |                |  | 1.0|  | 1.0| 1.0| 1.0| 1.0| 1.0| 1.0| |M1.0V
J00313+336   |K5V            |Ste86           |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.5| 0.5| |M0.0V
