V* V388 Cas (Gl51) | J01033+623   | 1.394| 0.438| 0.302| 1.176| 1.959| 0.385| 0.644| 0.968|-10.1| 0.1| 0.4
V* rho02 Ari (HD 18191) | J02558+183   | 1.573| 1.008| 0.415| 1.222| 2.599| 0.453| 0.855| 1.134|  0.0| 0.2| 0.2
V* DG Eri (HD 27598) | J04206-168   | 1.325| 1.042| 0.546| 1.071| 1.416| 0.571| 0.893| 1.160|  0.0| 0.5| 0.5
V* HD 36395 (HD 36395) | J05314-036   | 1.040| 0.784| 0.618| 1.018| 0.989| 0.655| 0.834| 1.023|  0.0| 0.3| 0.3
V* V1352 Ori (Gl 213) | J05421+124   | 1.241| 0.576| 0.366| 1.113| 1.568| 0.457| 0.726| 1.035| -0.5| 0.3| 0.5
V* Luyten's star (Gl 273) | J07274+052   | 1.176| 0.612| 0.408| 1.091| 1.393| 0.481| 0.740| 1.015| -0.5| 0.2| 0.2
V* DX Cnc (GJ 1111) | J08298+267   | 1.680| 0.299| 0.196| 1.298| 4.578| 0.270| 0.568| 0.974| -5.2| 1.1| 0.9
V* LP 609-71 (Gl 381) | J10120-026AB | 1.087| 0.726| 0.532| 1.041| 1.140| 0.560| 0.777| 0.950|  0.0| 0.3| 0.3
V* 56 Leo (HD 94705) | J10560+061   | 1.448| 0.668| 0.414| 1.297| 3.074| 0.683| 1.373| 7.230|  0.0| 0.4| 0.4
V* CN Leo (Gl 406) | J10564+070   | 1.662| 0.328| 0.226| 1.244| 3.418| 0.327| 0.645| 1.025|-10.9| 0.2| 0.9
V* HD 95735 (HD 95735) | J11033+359   | 1.042| 0.773| 0.570| 1.018| 0.991| 0.616| 0.823| 1.042|  0.0| 0.3| 0.3
V* vB 8 (Gl 644C) | J16555-083   | 1.864| 0.239| 0.156| 1.318| 4.955| 0.242| 0.519| 0.987| -6.0| 1.1| 1.0
V* V1428 Aql (Gl 752B) | J19169+051S  | 1.983| 0.344| 0.261| 1.292| 6.103| 0.334| 0.641| 0.979| -9.5| 1.0| 1.1
V* HD 209290 (HD 209290) |J22021+014   | 0.958| 0.858| 0.731| 0.990| 0.798| 0.758| 0.871| 0.998|  0.0| 0.4| 0.4
V* 416 Lac (HD 214665) | J22386+567   | 1.390| 0.960| 0.598| 1.136| 2.184| 0.884| 1.446| 3.081|  0.0| 0.4| 0.4
V* 8 And (HD 219734) | J23177+490   | 1.160| 0.698| 0.501| 1.026| 1.005| 0.772| 0.930| 2.244|  1.0| 0.3| 0.6
