2MASS J00043643-4044020|All|PM I00046-4044  |      |    |    | |00 04 36.5|-40 44 02| 0.0769|He06| 0.626|-1.532|12.85|APASS|14.47|12.85|13.58|12.20|10.74| 8.601| 8.043| 7.737|A|M4| | 0.507| 0.456| 0.721|      | 1.829| 1.590|  2.25|     |3351|PHX| | 0.28| | 0.010| | 0.26|00043643-4044020|0
2MASS J00052423-3721257|All|PM I00054-3721  |   439|6995|1264|1|00 05 24.4|-37 21 26| 0.2304|VL07| 5.635|-2.338| 8.62|HIPPA| 9.99| 9.53| 9.70| 9.00| 7.55| 5.328| 4.828| 4.523|A|M2| | 0.645| 0.586| 0.819| -6.00| 0.400| 0.596| -0.23|     |3589|PHX| | 0.44| | 0.028| | 0.46|00052423-3721257|0
2MASS J00152799-1608008|All|PM I00154-1608  |  1242|    |    | |00 15 28.1|-16 08 01| 0.2005|VL07| 0.732|-0.608|11.43|HIPPA|13.24|11.58|12.31|10.85| 9.37| 7.215| 6.712| 6.390|A|M4|S| 0.450| 0.422| 0.689|-15.99| 1.800| 2.601| -0.22|-0.47|3227|PHX|-| 0.19|-| 0.003|-| 0.14|00152799-1608008|0
2MASS J00182256+4401222|All|PM I00183+4401  |  1475|2794| 157|1|00 18 22.9|+44 01 22| 0.2788|VL07| 2.889| 0.410| 8.15|HIPPA| 9.62| 8.68|     |     | 7.28| 5.252| 4.476| 4.018|A|M1|S| 0.698| 0.622| 0.820| -6.42| 0.986| 0.971| -0.36|-0.29|3669|PHX| | 0.47| | 0.036| | 0.50|00182256+4401222|0
2MASS J00182549+4401376|All|PM I00184+4401  |      |    |    | |00 18 25.9|+44 01 38| 0.2788|VL07| 2.912| 0.351|11.08|APASS|12.82|11.08|11.86|10.30| 8.81| 6.789| 6.191| 5.948|A|M4|S| 0.456| 0.415| 0.667|-16.56| 2.327| 2.971| -0.39|-0.17|3282|PHX| | 0.23| | 0.006| | 0.19|00182549+4401376|0
2MASS J00322970+6714080|All|PM I00324+6714  |      |    |    | |00 32 29.4|+67 14 08| 0.0993|VL07| 1.739|-0.225|10.45|APASS|11.87|10.45|11.09| 9.74| 8.59| 6.844| 6.268| 6.037|A|M3| | 0.660| 0.560| 0.775| -5.99| 1.269| 1.424| -0.04|     |3598|PHX| | 0.44| | 0.029| | 0.46|00322970+6714080|0
2MASS J00322979+6714043|All|PM I00324+6714  |      |    |    | |00 32 29.4|+67 14 08| 0.0993|VL07| 1.739|-0.225|10.45|APASS|11.87|10.45|11.09| 9.74| 8.59| 6.844| 6.268| 6.037|A|M3| | 0.660| 0.560| 0.775| -5.99| 1.269| 1.424| -0.04|     |3598|PHX| | 0.44| | 0.029| | 0.46|00322970+6714080|0
2MASS J01023213+7140475|All|PM I01025+7140  |  4856|4304| 700|1|01 02 32.2|+71 40 47| 0.1214|VL07| 1.745|-0.381|10.02|HIPPA|11.45|10.18|10.87| 9.61| 8.38| 6.301| 5.699| 5.449|A|M4| | 0.515| 0.480| 0.761| -5.23| 0.686| 1.694| -0.07|     |3475|PHX| | 0.37| | 0.019| | 0.37|01023213+7140475|0
2MASS J01023895+6220422|All|PM I01026+6220  |  4872|4021|1115|1|01 02 38.9|+62 20 42| 0.1004|VL07| 0.732| 0.090| 9.61|HIPPA|11.03| 9.75|10.43| 9.26| 8.15| 6.230| 5.582| 5.371|A|M2| | 0.647| 0.608| 0.818| -5.98| 0.883| 0.961| -0.06|     |3740|PHX| | 0.50| | 0.043| | 0.54|01023895+6220422|0
2MASS J01031971+6221557|All|PM I01033+6221  |      |    |    | |01 03 19.8|+62 21 55| 0.0955|VA95| 0.737| 0.087|13.32|USNOB|     |     |     |     |     | 8.611| 8.014| 7.718|A|M5|S| 0.359| 0.373| 0.647|-16.05| 2.592| 3.661| 10.59| 0.22|3094|PHX|-| 0.19|-| 0.003|-| 0.14|01031971+6221557|0
2MASS J01102281-6726425|All|PM I01103-6726  |  5496|8855| 238|1|01 10 22.9|-67 26 41| 0.1220|VL07| 0.393| 0.571| 9.81|HIPPA|11.32| 9.96|10.64| 9.30| 7.97| 5.997| 5.409| 5.132|A|M4| | 0.593| 0.519| 0.755|      | 1.060| 1.109|  3.94|     |3481|PHX| | 0.37| | 0.019| | 0.38|01102281-6726425|0
2MASS J01123052-1659570|All|PM I01125-1659  |  5643|    |    | |01 12 30.6|-16 59 56| 0.2710|VL07| 1.209| 0.641|11.96|HIPPA|13.90|12.16|12.89|11.45| 9.76| 7.258| 6.749| 6.420|A|M5| | 0.374| 0.352| 0.632|-19.81| 2.373| 3.757|  1.04|     |3062|PHX|-| 0.19|-| 0.003|-| 0.14|01123052-1659570|0
2MASS J01432015+0419172|All|PM I01433+0419  |  8051|  32|1005|1|01 43 20.2|+04 19 17| 0.0876|VL07|-0.418|-0.764|10.96|HIPPA|12.46|10.95|11.65|10.25| 9.15| 7.370| 6.809| 6.516|A|  | |      |      |      |      |      |      |      |     |3597|V-J| | 0.44| | 0.029| | 0.46|01432015+0419172|0
2MASS J02001278+1303112|All|PM I02002+1303  |      |    |    | |02 00 13.0|+13 03 07| 0.2177|Di14| 1.091|-1.780|12.41|APASS|14.13|12.41|13.10|11.64| 9.87| 7.514| 6.970| 6.648|A|M5| | 0.347| 0.361| 0.619|-18.17| 1.892| 4.236|  1.58|     |3074|PHX|-| 0.19|-| 0.003|-| 0.14|02001278+1303112|0
