#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:19:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5589327d5296	
#INFO	-out.max=unlimited	
#INFO	queryParameters=41	
#-oc.form=dec
#-nav=cat:J/ApJ/804/64&tab:{J/ApJ/804/64/para}&key:source=J/ApJ/804/64&HTTPPRM:&&-ref=VIZ5589327d5296&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out=ori&-out=Name&-out=CNS3&-out=RAJ2000&-out=DEJ2000&-out=Fbol&-out=Teff&-out=R&-out=M&-out=[Fe/H]&-out=SpType&-out=Bmag&-out=Vmag&-out=Rcmag&-out=Icmag&-out=gmag&-out=rmag&-out=imag&-out=zmag&-out=Jmag&-out=Hmag&-out=Ksmag&-out=Gaiamag&-out=BPmag&-out=RPmag&-out=ModFbol&-out=ModTeff&-out=ModR&-out=ModM&-out=ModAge&-out=chisq&-out=SimbadName&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=J/ApJ/804/64/para
#-order=I
#-out=ori
#-out=Name
#-out=CNS3
#-out=RAJ2000
#-out=DEJ2000
#-out=Fbol
#-out=Teff
#-out=R
#-out=M
#-out=[Fe/H]
#-out=SpType
#-out=Bmag
#-out=Vmag
#-out=Rcmag
#-out=Icmag
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=Gaiamag
#-out=BPmag
#-out=RPmag
#-out=ModFbol
#-out=ModTeff
#-out=ModR
#-out=ModM
#-out=ModAge
#-out=chisq
#-out=SimbadName
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcmin
#

#RESOURCE=yCat_18040064
#Name: J/ApJ/804/64
#Title: Empirical and model parameters of 183 M dwarfs (Mann+, 2015)
#INFO	-c=338.649746+00.595176,rm=2.	
#HD 213893
#
#Table	J_ApJ_804_64_para:
#Name: J/ApJ/804/64/para
#Title: Data on all 183 stars (tables 5-7 of the paper)
#Column	ori	(I3)	link to the three catalogs used for Name [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Name	(A16)	LG11, CONCH-Shell, or LSPM Name (1)	[ucd=meta.id;meta.main]
#Column	CNS3	(a10)	Gliese or GJ name	[ucd=meta.id]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Fbol	(F8.5)	Bolometric Flux	[ucd=phot.flux.bol]
#Column	Teff	(I4)	Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	R	(F7.4)	Stellar Radius	[ucd=phys.size.radius]
#Column	M	(F7.4)	Stellar Mass	[ucd=phys.mass]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Z]
#Column	SpType	(A6)	MK spectral Type	[ucd=src.spType]
#Column	Bmag	(F6.3)	Synthetic Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	Synthetic Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Rcmag	(F6.3)	Synthetic Cousins R magnitude	[ucd=phot.mag;em.opt.R]
#Column	Icmag	(F6.3)	Synthetic Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	gmag	(F6.3)	Synthetic SDSS g magnitude	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	Synthetic SDSS r magnitude	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	Synthetic SDSS i magnitude	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	Synthetic SDSS z magnitude	[ucd=phot.mag;em.opt.I]
#Column	Jmag	(F6.3)	Synthetic 2MASS J magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	Synthetic 2MASS H magnitude	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	Synthetic 2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	Gaiamag	(F6.3)	Synthetic Gaia G magnitude	[ucd=phot.mag;em.opt.R]
#Column	BPmag	(F6.3)	Synthetic Gaia BP magnitude	[ucd=phot.mag;em.opt.V]
#Column	RPmag	(F6.3)	Synthetic Gaia RP magnitude	[ucd=phot.mag;em.opt.I]
#Column	ModFbol	(F8.5)	? Model inferred Bolometric Flux	[ucd=phot.flux.bol;meta.modelled]
#Column	ModTeff	(I4)	? Model inferred effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective;meta.modelled]
#Column	ModR	(F7.4)	? Model inferred Stellar Radius	[ucd=phys.size.radius;meta.modelled]
#Column	ModM	(F7.4)	? Model inferred Stellar Mass	[ucd=phys.mass]
#Column	ModAge	(F5.2)	? Model inferred Age	[ucd=time.age;meta.modelled]
#Column	chisq	(F6.3)	? Chi squared for model comparison	[ucd=stat.fit.chi2]
#Column	SimbadName	(a24)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
#INFO	Target=338.649746+00.595176,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=046.611403+01.965175,rm=2.	
#HD 19305
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=046.611403+01.965175,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=019.973412+58.308539,rm=2.	
#HD 236697
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=019.973412+58.308539,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=330.542808+01.400230,rm=2.	
#HD 209290
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=330.542808+01.400230,rm=2.	
#      MatchedRows=2147483647 (upper limit)
#
ori|Name|CNS3|RAJ2000|DEJ2000|Fbol|Teff|R|M|[Fe/H]|SpType|Bmag|Vmag|Rcmag|Icmag|gmag|rmag|imag|zmag|Jmag|Hmag|Ksmag|Gaiamag|BPmag|RPmag|ModFbol|ModTeff|ModR|ModM|ModAge|chisq|SimbadName
 | | |deg|deg|10pW/m+2|K|Rsun|Msun|[-]| |mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|10pW/m+2|K|Rsun|Msun|[yr]| |
---|----------------|----------|---------|---------|--------|----|-------|-------|-----|------|------|------|------|------|------|------|------|------|------|------|------|------|------|------|--------|----|-------|-------|-----|------|------------------------
  3|PM I22021+0124  |Gl 846    |330.54288|+01.40027| 1.79100|3848| 0.5460| 0.5900| 0.02|M0.6  |10.623| 9.179| 8.226| 7.238| 9.982| 8.576| 7.841| 7.437| 6.207| 5.530| 5.347| 8.671| 9.573| 7.449| 1.79100|3875| 0.5380| 0.5710| 9.43| 0.444|Gl 846


#RESOURCE=
#Name:
#Title:
#INFO	-c=297.549712+24.923388,rm=2.	
#HD 339034
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=297.549712+24.923388,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=035.426711+57.862812,rm=2.	
#HD 14404
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=035.426711+57.862812,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=088.792939+07.407064,rm=2.	
#HD 39801
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=088.792939+07.407064,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=322.487064+23.638838,rm=2.	
#HD 204724
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=322.487064+23.638838,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=092.644231-21.864642,rm=2.	
#HD 42581
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=092.644231-21.864642,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=081.792574+29.921054,rm=2.	
#HD 35601
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=081.792574+29.921054,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=023.387729+61.558536,rm=2.	
#BD +60 265
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=023.387729+61.558536,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=082.864150-03.677231,rm=2.	
#HD 36395
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=082.864150-03.677231,rm=2.	
#      MatchedRows=2147483647 (upper limit)
#
ori|Name|CNS3|RAJ2000|DEJ2000|Fbol|Teff|R|M|[Fe/H]|SpType|Bmag|Vmag|Rcmag|Icmag|gmag|rmag|imag|zmag|Jmag|Hmag|Ksmag|Gaiamag|BPmag|RPmag|ModFbol|ModTeff|ModR|ModM|ModAge|chisq|SimbadName
 | | |deg|deg|10pW/m+2|K|Rsun|Msun|[-]| |mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|10pW/m+2|K|Rsun|Msun|[yr]| |
---|----------------|----------|---------|---------|--------|----|-------|-------|-----|------|------|------|------|------|------|------|------|------|------|------|------|------|------|------|--------|----|-------|-------|-----|------|------------------------
  1|PM I05314-0340  |Gl 205    |082.86417|-03.67722| 6.34000|3801| 0.5810| 0.6330| 0.49|M1.5  | 9.432| 7.932| 7.008| 5.931| 8.767| 7.376| 6.566| 6.096| 4.796| 4.123| 3.856| 7.416| 8.354| 6.161| 6.34000|3805| 0.5790| 0.6130| 9.41| 0.655|Gl 205


#RESOURCE=
#Name:
#Title:
#INFO	-c=325.876921+58.780045,rm=2.	
#HD 206936
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=325.876921+58.780045,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=025.796280+48.516767,rm=2.	
#HD 10465
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=025.796280+48.516767,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=057.380333+65.525973,rm=2.	
#HD 23475
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=057.380333+65.525973,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=206.855798-17.859839,rm=2.	
#HD 120052
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=206.855798-17.859839,rm=2.	
#      MatchedRows=0
#

#RESOURCE=
#Name:
#Title:
#INFO	-c=165.834142+35.969880,rm=2.	
#HD 95735
#
#Table	J_ApJ_804_64_para:J_ApJ_804_64_para
#Name: J/ApJ/804/64/para
#Title:
#INFO	Target=165.834142+35.969880,rm=2.	
#      MatchedRows=2147483647 (upper limit)
#
ori|Name|CNS3|RAJ2000|DEJ2000|Fbol|Teff|R|M|[Fe/H]|SpType|Bmag|Vmag|Rcmag|Icmag|gmag|rmag|imag|zmag|Jmag|Hmag|Ksmag|Gaiamag|BPmag|RPmag|ModFbol|ModTeff|ModR|ModM|ModAge|chisq|SimbadName
 | | |deg|deg|10pW/m+2|K|Rsun|Msun|[-]| |mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|10pW/m+2|K|Rsun|Msun|[yr]| |
