HD 209290|  3|PM I22021+0124  |Gl 846    |330.54288|+01.40027| 1.79100|3848| 0.5460| 0.5900| 0.02|M0.6  |10.623| 9.179| 8.226| 7.238| 9.982| 8.576| 7.841| 7.437| 6.207| 5.530| 5.347| 8.671| 9.573| 7.449| 1.79100|3875| 0.5380| 0.5710| 9.43| 0.444|Gl 846
HD 36395|  1|PM I05314-0340  |Gl 205    |082.86417|-03.67722| 6.34000|3801| 0.5810| 0.6330| 0.49|M1.5  | 9.432| 7.932| 7.008| 5.931| 8.767| 7.376| 6.566| 6.096| 4.796| 4.123| 3.856| 7.416| 8.354| 6.161| 6.34000|3805| 0.5790| 0.6130| 9.41| 0.655|Gl 205
HD 95735|  3|PM I11033+3558  |Gl 411    |165.83423|+35.97054|10.82100|3563| 0.3890| 0.3860|-0.38|M1.9  | 9.019| 7.498| 6.475| 5.275| 8.333| 6.898| 5.938| 5.419| 4.167| 3.601| 3.361| 6.854| 7.912| 5.522|10.82000|3637| 0.3720| 0.3960| 9.54| 3.187|Gl 411
Gl 806|  3|PM I20450+4429  |Gl 806    |311.26700|+44.49903| 0.58540|3542| 0.4430| 0.4320|-0.15|M2.0  |12.280|10.721| 9.676| 8.474|11.593|10.097| 9.136| 8.604| 7.317| 6.729| 6.531|10.057|11.137| 8.716| 0.58500|3640| 0.4160| 0.4440| 9.47| 4.747|Gl 806
Gl 581|  2|PM I15194-0743E |Gl 581    |229.86194|-07.72227| 0.96090|3395| 0.3110| 0.2920|-0.15|M3.2  |12.159|10.581| 9.448| 8.024|11.438| 9.970| 8.754| 8.083| 6.716| 6.132| 5.897| 9.740|11.008| 8.292| 0.96100|3457| 0.2990| 0.3060| 9.44| 2.120|Gl 581
Gl 388|  3|PM I10196+1952  |Gl 388    |154.90117|+19.87002| 2.94000|3370| 0.4350| 0.4060| 0.15|M3.4  |10.918| 9.411| 8.286| 6.834|10.224| 8.814| 7.576| 6.885| 5.502| 4.890| 4.664| 8.559| 9.826| 7.108| 2.94000|3492| 0.4020| 0.4270| 9.46| 8.070|Gl 388
Gl 273|  3|PM I07274+0513  |Gl 273    |111.85200|+05.22630| 2.39500|3317| 0.3150| 0.2830|-0.11|M3.8  |11.417| 9.892| 8.683| 7.098|10.690| 9.298| 7.875| 7.089| 5.683| 5.123| 4.892| 8.893|10.313| 7.374| 2.39500|3438| 0.2930| 0.2980| 9.44| 7.787|Gl 273
Gl 213|  3|PM I05421+1229  |Gl 213    |085.53833|+12.48956| 0.60020|3250| 0.2640| 0.2290|-0.22|M4.0  |13.178|11.580|10.264| 8.621|12.440|10.918| 9.413| 8.605| 7.161| 6.613| 6.355|10.460|11.994| 8.904| 0.60000|3370| 0.2430| 0.2340| 9.41| 7.212|Gl 213
Gl 406|  2|PM I10564+0700  |Gl 406    |164.12042|+07.01472| 0.57980|2818| 0.1348| 0.0997| 0.25|M5.9  |15.518|13.520|11.612| 9.366|14.582|12.774|10.376| 8.977| 7.074| 6.462| 6.147|11.395|13.993| 9.581| 0.58000|2808| 0.1350| 0.1050| 9.45| 0.504|Gl 406
GJ 1111|  3|PM I08298+2646  |GJ 1111   |127.45563|+26.77604| 0.20160|2800| 0.1226| 0.0937|-0.15|M6.7  |16.227|14.834|12.974|10.611|15.557|14.253|11.674|10.166| 8.220| 7.617| 7.237|12.643|15.233|10.810|        |    |       |       |     |      |GJ 1111
Gl 644C|  1|PM I16555-0823  |Gl 644 C  |253.89705|-08.39448| 0.04725|2700| 0.1131| 0.0841|-0.07|M7.0  |18.663|16.758|14.577|12.127|17.662|16.019|13.212|11.690| 9.777| 9.197| 8.832|14.204|17.215|12.341|        |    |       |       |     |      |Gl 644 C
Gl 752B|  3|PM I19169+0510  |Gl 752A   |289.23032|+05.16909| 3.01700|3558| 0.4740| 0.4750| 0.10|M2.6  |10.621| 9.141| 8.077| 6.744| 9.940| 8.553| 7.454| 6.813| 5.543| 4.917| 4.696| 8.394| 9.551| 6.999| 3.01700|3619| 0.4570| 0.4880| 9.45| 2.200|Gl 752A
