#2MASS J00182256+4401222
J0018+4401E            |1|  |00 18 25.87|+44 01 38.4| 2.912| 0.351| 5.948|M5V  |M3.5V| 4.47| 2.27| 0.862|-0.08|   6|   5.5| 4|  0|2M|Simbad
#2MASS J00182549+4401376
J0018+4401E            |1|  |00 18 25.87|+44 01 38.4| 2.912| 0.351| 5.948|M5V  |M3.5V| 4.47| 2.27| 0.862|-0.08|   6|   5.5| 4|  0|2M|Simbad
#2MASS J01031971+6221557
J0103+6221             |2|  |01 03 19.82|+62 21 55.8| 0.739| 0.086| 7.718|M5V  |M5V  | 6.64| 3.28| 0.822| 0.27|  -4|   4.4| 7|  1|2M|Simbad
#2MASS J01112542+1526214
J0111+1526             |1|  |01 11 25.41|+15 26 21.6| 0.192|-0.130| 8.208|M6V  |M5V  | 4.26| 1.96| 0.796|-0.14|   3|   8.1| 8|  1|2M|Simbad
#2MASS J02001278+1303112
J0200+1303             |1|  |02 00 12.97|+13 03 07.1| 1.091|-1.780| 6.648|M5V  |M4.5V| 4.74| 2.75| 0.843|-0.02| -27|  11.4| 5|  1|2M|Simbad
#2MASS J02021620+1020136
J0202+1020             |1|  |02 02 16.24|+10 20 13.9|-0.679|-0.283| 8.928|M6V  |M6V  | 5.98| 1.62| 0.790| 0.20|  17|  38.3|10|  1|2M|Simbad
#2MASS J02333717+2455392
J0233+2455             |1|  |02 33 37.18|+24 55 37.8| 0.058|-0.669| 7.627|M4V  |M4V  | 5.28| 3.12| 0.864| 0.09|  -3|  -0.3|10|  1|2M|Simbad
#2MASS J02441537+2531249
J0244+2531             |1|  |02 44 15.51|+25 31 24.2| 0.863|-0.361| 5.961|M3V  |M3V  | 4.73| 3.70| 0.914|-0.02|  27|  29.7| 6|  1|2M|Simbad
#2MASS J03132299+0446293
J0313+0446             |1|  |03 13 22.92|+04 46 29.3| 1.749| 0.084| 7.833|M5V  |M5V  | 6.35| 2.56| 0.846| 0.24|  26|  29.9| 9|  1|2M|Simbad
#2MASS J04311147+5858375
