#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-05-20T14:28:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ537b66326c15	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/MNRAS/389/585&tab:{J/MNRAS/389/585/table1}&key:source=J/MNRAS/389/585&HTTPPRM:&&-ref=VIZ537b66326c15&-out.max=1000&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/MNRAS/389/585/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=Teff&-out=theta&-out=mBol&-out=Vmag&-out=B-V&-out=U-B&-out=V-Rc&-out=V-Ic&-out=Jmag&-out=Hmag&-out=Ksmag&-out=[M/H]&-out=Simbad&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-out.src=J/MNRAS/389/585/table1
#-source=J/MNRAS/389/585/table1
#-order=I
#-out=Name
#-out=Teff
#-out=theta
#-out=mBol
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-Rc
#-out=V-Ic
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=[M/H]
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_73890585
#Name: J/MNRAS/389/585
#Title: Fundamental parameters of M dwarfs (Casagrande+, 2008)
#Table	J_MNRAS_389_585_table1:
#Name: J/MNRAS/389/585/table1
#Title: Observable and physical quantities for our sample stars
#Column	Name	(a14)	Star name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	theta	(F6.3)	Angular diameter	[ucd=phys.angSize]
#Column	mBol	(F6.3)	Apparent bolometric magnitude (1)	[ucd=phot.mag.bol]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	V-Rc	(F6.3)	Johnson-Cousins V-Rc colour index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-Ic	(F6.3)	Johnson-Cousins V-Ic colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Jmag	(F6.3)	2MASS Johnson J magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS Johnson H magnitude	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	2MASS Johnson Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	[M/H]	(F5.2)	? Metallicity (2)	[ucd=phys.abund.Z]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;Teff;theta;mBol;Vmag;B-V;U-B;V-Rc;V-Ic;Jmag;Hmag;Ksmag;[M/H];Simbad;_RA;_DE
 ;K;mas;mag;mag;mag;mag;mag;mag;mag;mag;mag;[-]; ;deg;deg
--------------;----;------;------;------;------;------;------;------;------;------;------;-----;------;---------;---------
HIP 112       ;3923; 0.209; 9.668;10.748; 1.410; 1.320; 0.879; 1.722; 8.017; 7.408; 7.217;-0.08;Simbad;000.35768;-16.94845
HIP 897       ;3786; 0.228; 9.628;10.822; 1.463; 1.249; 0.914; 1.826; 7.976; 7.314; 7.119;-0.18;Simbad;002.76921;-05.78397
HIP 1734      ;3397; 0.306; 9.459;11.133; 1.508; 1.162; 1.009; 2.209; 7.674; 7.052; 6.785; 0.07;Simbad;005.48352;-31.40607
HIP 1842      ;3327; 0.241;10.073;11.886; 1.523; 1.166; 1.042; 2.326; 8.259; 7.640; 7.375; 0.04;Simbad;005.82719;-50.89387
HIP 3143      ;3573; 0.220; 9.964;11.401; 1.487; 1.191; 0.968; 2.030; 8.225; 7.609; 7.394;-0.22;Simbad;009.99510;-44.25322
HIP 3813      ;3714; 0.254; 9.479;10.733; 1.453; 1.236; 0.928; 1.877; 7.804; 7.161; 6.949;-0.23;Simbad;012.25714;-50.14491
HIP 5018      ;4069; 0.131;10.527;11.447; 1.332; 1.226; 0.823; 1.558; 8.924; 8.289; 8.134;-0.06;Simbad;016.07637;-57.68597
HIP 5266      ;4156; 0.147;10.180;11.019; 1.291; 1.217; 0.793; 1.503; 8.603; 8.001; 7.800;-0.13;Simbad;016.81880;-63.39448
HIP 5812      ;3501; 0.274; 9.573;11.070; 1.511; 1.185; 0.981; 2.086; 7.805; 7.242; 6.966;-0.29;Simbad;018.64249;-53.94211
HIP 6008      ;3719; 0.254; 9.472;10.788; 1.473; 1.238; 0.945; 1.934; 7.759; 7.170; 6.906; 0.03;Simbad;019.31552;-13.26326
HIP 6097      ;3448; 0.218;10.139;11.788; 1.466; 1.072; 1.005; 2.221; 8.356; 7.737; 7.550;-0.17;Simbad;019.56671;-12.89984
HIP 6365      ;3556; 0.228; 9.906;11.400; 1.493; 1.216; 0.980; 2.091; 8.168; 7.536; 7.294;-0.07;Simbad;020.43911;-46.71438
HIP 7554      ;3754; 0.287; 9.169;10.391; 1.443; 1.240; 0.910; 1.836; 7.497; 6.851; 6.621;-0.03;Simbad;024.33676;-49.19566
HIP 7817      ;4049; 0.126;10.630;11.482; 1.257; 1.054; 0.791; 1.497; 9.075; 8.432; 8.252;-0.65;Simbad;025.14419;-30.72846
HIP 8051      ;3359; 0.356; 9.180;10.913; 1.541; 1.197; 1.035; 2.300; 7.370; 6.809; 6.516;-0.25;Simbad;025.83408;+04.32166
HIP 8691      ;3478; 0.209;10.184;11.798; 1.487; 1.115; 1.018; 2.214; 8.375; 7.849; 7.631;-0.45;Simbad;027.95286;-10.80347
HIP 9724      ;3279; 0.547; 8.355;10.205; 1.524; 1.143; 1.048; 2.343; 6.542; 5.898; 5.662; 0.04;Simbad;031.27020;-17.61463
HIP 10279     ;3577; 0.409; 8.607;10.042; 1.435; 1.075; 0.950; 2.054; 6.830; 6.321; 6.077;-0.44;Simbad;033.08745;+03.57562
HIP 12749     ;3576; 0.176;10.445;11.914; 1.469; 1.074; 0.967; 2.089; 8.693; 8.103; 7.922;-0.44;Simbad;040.97174;-08.82937
HIP 13389     ;3268; 0.323; 9.515;11.382; 1.585; 1.198; 1.064; 2.390; 7.671; 7.115; 6.829;-0.25;Simbad;043.09237;-63.67982
