name FeH-neves teff-Neves sigma-Teff MHRA sigma-MHRA FeH-RA sigma-FeH
2MASS J04152173-0739173 0.08 2979 32 -0.1 0.12 -0.15 0.17
2MASS J04425581+1857285 -0.01 3581 20 0.11 0.12 0.15 0.17
2MASS J05015746-0656459 -0.25 3054 69 -0.03 0.12 -0.06 0.17
2MASS J05312734-0340356 0.22 4012 106 0.25 0.12 0.35 0.17
2MASS J05420897+1229252 -0.11 3167 47 -0.17 0.12 -0.25 0.17
2MASS J06521804-0511241 -0.1 3569 20 0.01 0.12 0.01 0.17
2MASS J07272450+0513329 -0.01 3293 26 -0.12 0.12 -0.17 0.17
2MASS J07444018+0333089 0.18 3045 59 0.29 0.12 0.4 0.17
2MASS J08115757+0846220 -0.5 3021 49 -0.32 0.12 -0.46 0.17
2MASS J10505201+0648292 0.06 3334 23 0.15 0.12 0.2 0.17
2MASS J10562886+0700527 0.18 2887 20 0.14 0.12 0.18 0.17
2MASS J11474440+0048164 -0.18 3065 69 0 0.12 -0.01 0.17
2MASS J13454354+1453317 -0.2 3642 17 -0.21 0.12 -0.3 0.17
2MASS J14341683-1231106 0.17 3288 27 0.16 0.12 0.22 0.17
2MASS J15192689-0743200 -0.21 3534 18 -0.06 0.12 -0.1 0.17
2MASS J16301808-1239434 -0.02 3380 20 -0.01 0.12 -0.02 0.17
2MASS J16552527-0819207 -0.28 3376 20 -0.15 0.12 -0.22 0.17
2MASS J16552880-0820103 -0.28 3845 19 -0.27 0.12 -0.39 0.17
2MASS J17375330+1835295 -0.37 3693 20 -0.2 0.12 -0.28 0.17
2MASS J17574849+0441405 -0.52 3266 29 -0.27 0.12 -0.39 0.17
2MASS J18073292-1557464 -0.1 3245 31 -0.03 0.12 -0.05 0.17
2MASS J19165526+0510086 0.06 3789 20 -0.03 0.12 -0.05 0.17
2MASS J19165762+0509021 0.06 3789 20 -0.03 0.12 -0.05 0.17
2MASS J20403364+1529572 0.1 3080 74 0.15 0.12 0.2 0.17
2MASS J22094029-0438267 0.24 3601 19 0.23 0.12 0.31 0.17
2MASS J22230696-1736250 0.18 3039 56 0.28 0.12 0.38 0.17
2MASS J22531672-1415489 0.15 3473 17 0.14 0.12 0.19 0.17
2MASS J23491255+0224037 -0.44 3995 47 -0.41 0.12 -0.59 0.17
