Star Ids;R.A.;Dec;Sp. Type;Mv [mag];;log (g);[Fe/H];Parallax [mas];Ref
HD007927;01 20 04.9;+58 13 53.8;F0Ia;5,01;7341;?;?;1,40;1
HD135153;15 14 37.3;?31 31 08.8;F1II;4,92;7070;1,87;?;2,86;2
HD006130;01 03 37.0;+61 04 29.3;F0II;5,91;7400;1,50;0,02;2,16;3
HD089025;10 16 41.4;+23 25 02.3;F0III;3,44;6950;2,95;-0,03;12,56;2
HD013174;02 09 25.3;+25 56 23.6;F2III;4,98;7000;3,7;0,3;10,19;4
HD027397;04 19 57.7;+14 02 06.7;F0IV;5,56;7100;4,3;?;22,31;5
HD108519;12 27 46.3;+27 25 21.9;F0Vn;?;7200;?;?;6,90;?
HD173638;18 46 43.3;?10 07 30.1;F2Ib-II;5,73;7090;1,67;-0,1;-0,07;2
HD213135;22 29 46.0;?27 06 26.2;F1V;4,19;6918;?;-0,24;23,76;6
BD+38-2803;16 35 57.3;+37 58 02.1;F2-F5Ib;?;7350;?;?;-0,15;?
HD182835;19 26 31.1;+00 20 18.8;F2Iab;4,68;6810;1,93;-0,08;0,28;2
HD040535;05 59 01.1;?09 22 56.0;F2III-IV;?;6870;?;?;10,32;?
HD164136;17 58 30.1;+30 11 21.4;F2II;4,41;6575;2,00;-0,33;4,10;7
HD113139;13 00 43.7;+56 21 58.8;F2V;4,93;6890;4,13;0,02;40,06;2
HD026015;04 07 42.0;+15 09 46.0;F3V;6,05;6880;4,28;0,09;21,27;2
HD021770;03 32 26.2;+46 03 24.7;F4III;5,31;6615;4,06;0,03;27,46;8
HD016232;02 36 57.7;+24 38 53.0;F4V;7,09;6462;4,50;0,27;23,36;9
HD087822;10 08 15.9;+31 36 14.5;F4V;6,23;6545;4,20;0,19;15,80;10
HD075555;08 52 21.8;+44 53 51.4;F5;8,11;6490;3,57;0,02;3,61;2
HD213306;22 29 10.3;+58 24 54.7;F5Ib;4,07;5864;1,65;0,07;3,32;11
HD017918;02 53 11.7;+16 29 00.4;F2III;6,30;6700;4,0;0,0;9,27;4
HD186155;19 40 50.2;+45 31 29.7;F5II-III;5,07;6780;3,33;0,26;20,51;2
HD218804;23 10 27.2;+43 32 39.2;F5IV;6,00;6222;4,00;-0,27;35,39;10
HD027524;04 21 31.6;+21 02 23.5;F5V;6,77;6519;0,06;3,97;19,55;12
HD160365;17 38 57.8;+13 19 45.3;F6III;6,14;6180;3,05;-0,26;10,68;2
HD011443;01 53 04.9;+29 34 43.7;F6IV;3,41;6288;3,91;0,00;50,87;8
HD215648;22 46 41.6;+12 10 22.4;F7V;4,20;6000;4,10;-0,28;61,54;13
HD201078;21 06 30.2;+31 11 04.7;F7.5Ib-IIv;5,82;6230;1,94;-0,1;1,72;2
HD124850;14 16 00.9;?06 00 01.9;F7IV;4,10;6222;4,20;-0,09;46,74;14
HD126660;14 25 11.8;+51 51 02.6;F7V;4,10;6338;4,29;-0,05;68,63;8
HD102870;11 50 41.7;+01 45 52.9;F9V;3,61;6146;4,30;0,20;91,74;15
HD190323;20 03 49.6;+14 58 58.7;G0Ia;4,2;5900;0,1;?;-1.23;16
HD051956;06 59 31.7;+00 55 00.3;F8Ib;?;6100;?;?;1,37;?
HD220657;23 25 22.8;+23 24 14.7;F8IV;4,40;5920;3,18;-0,26;18,83;2
HD111844;12 51 54.4;+19 10 05.2;F8IV;7,80;6160;3,67;0,02;-12.61;2
HD219623;23 16 42.3;+53 12 48.5;F7V;5,60;6145;4,23;0,01;49,31;8
HD027383;04 19 54.9;+16 31 21.3;F9V;6,86;6280;4,55;0,10;23,27;2
HD114710;13 11 52.4;+27 52 41.4;F9.5V;4,26;6146;4,52;0,06;109,23;17
HD006903;01 09 49.2;+19 39 30.2;G0III;5,56;5730;2,71;-0,35;8,09;2
HD176051;18 57 01.6;+32 54 04.5;G0V+k1V;5,25;6030;4,37;-0,04;66,76;2
HD165908;18 07 01.5;+30 33 43.7;F7V;5,06;6020;4,48;-0,56;63,88;18
HD185018;19 36 52.4;+11 16 23.5;G0Ib;5,98;5700;2,24;-0,17;2,86;2
HD109358;12 33 44.5;+41 21 26.9;G0V;4,26;6000;4,50;0,07;119,46;15
HD020619;03 19 01.9;?02 50 35.5;G1.5V;7,10;5600;4,00;-0,45;40,72;20
HD074395;08 43 40.4;?07 14 01.4;G2Iab:;4,64;5250;1,30;-0,11;5,40;18
HD021018;03 23 39.0;+04 52 55.5;G5III;6,40;5250;3,0;0,0;2,92;21
HD216219;22 50 52.1;+18 00 07.5;G0IIp;7,44;5478;2,80;-0,55;10,74;22
HD095128;10 59 28.0;+40 25 48.9;G1V;5,10;5882;4,34;0,01;71,04;18
HD010307;01 41 47.1;+42 36 48.1;G1.5V;4,90;5898;4,31;-0,02;79,09;18
HD039949;05 57 05.5;+27 18 59.9;G2Ib;7,25;5250;1,10;-0,16;-0,83;19
HD042454;06 12 05.5;+29 29 31.7;G2Ib;7,32;5250;1,10;-0,05;3,20;19
HD003421;00 37 21.2;+35 23 58.2;G2.5IIa;5,43;5620;2,78;-0,14;3,19;2
HD219477;23 15 46.3;+28 14 52.4;G2II-III;?;5450;?;?;3,41;?
HD126868;14 28 12.1;?02 13 40.6;G2IV;4,84;5600;3,90;-0,02;24,15;23
HD076151;08 54 17.9;?05 26 04.0;G2V;6,00;5600;4,40;-0,02;58,50;24
HD192713;20 15 30.2;+23 30 32.0;G3Ib-II;?;5000;?;?;0,75;?
HD176123;18 59 26.8;?18 33 59.1;G3II;6,39;5200;2,25;?;3,93;25
HD088639;10 13 49.7;+27 08 08.9;G3III;?;5300;?;?;8,39;?
HD010697;01 44 55.8;+20 04 59.3;G5IV;6,29;5641;4,05;0,14;30,71;26
HD006474;01 06 59.7;+63 46 23.3;G4Ia;7,60;6222;1,50;0,25;-0,2;11
HD108477;12 27 49.4;?16 37 54.6;G4III;?;5200;?;?;2,55;?
HD094481;10 54 17.8;?13 45 28.9;K0III;5,65;5355;3,00;?;7,97;27
HD179821;19 13 58.6;+00 07 31.9;G5Ia;8,12;6750;0,50;-0,45;0,18;28
HD214850;22 40 52.7;+14 32 56.9;G4V;5,73;5420;?;-0,22;30,49;6
HD190113;20 02 02.8;+35 38 28.0;G5Ib;?;4850;?;?;1,28;?
HD193896;20 23 00.8;?09 39 16.9;G5IIIa;?;5150;?;?;7,49;?
HD018474;02 59 49.8;+47 13 14.5;G4pIII;5,24;5013;2,38;-0,23;5,85;29
HD165185;18 06 23.7;?36 01 11.2;G5V;5,94;5895;4,49;-0,06;57,58;30
HD115617;13 18 24.3;?18 18 40.3;G5V;4,74;5600;4,00;-0,03;117,30;14
HD161664;17 47 45.6;?22 28 40.0;G6Ib;?;4800;?;?;1,80;?
HD202314;21 14 10.3;+29 54 03.4;G2Ib;6,18;4900;1,50;0,00;1,34;16
HD058367;07 25 38.9;+09 16 33.9;G6.5IIb;4,99;4820;2,01;-0,22;3,30;31
HD027277;04 20 53.5;+50 16 18.2;G6III;?;5100;?;?;?;?
HD016139;02 36 18.0;+27 28 20.3;G7.5IIIa;?;4950;?;?;?;?
HD333385;20 02 27.4;+30 04 25.5;G7Ia;?;4650;?;?;?;?
HD025877;04 09 27.6;+59 54 29.0;G8IIa;6,29;5060;1,91;?;3,04;25
HD182694;19 23 56.5;+43 23 17.4;G6.3IIIa;5,85;5067;2,63;-0,04;8,06;29
HD114946;13 14 10.9;?19 55 51.4;G8III/IV;5,33;5056;3,04;-0,31;25,89;32
HD020618;03 19 55.8;+27 04 16.1;G8IV;5,91;5049;3,08;-0,22;15,88;29
HD208606;21 55 20.6;+61 32 30.5;G8Ib;?;4600;?;?;0,36;?
HD104979;12 05 12.5;+08 43 58.7;G8IIIa;4,13;5250;3,25;-0,29;19,08;33
HD135722;15 15 30.2;+33 18 53.4;G8III;3,47;4800;2,70;-0,5;27,94;2
HD122563;14 02 31.8;+09 41 09.9;KIIvw;6,20;4582;0,90;-2,5;3,76;34
HD101501;11 41 03.0;+34 12 05.9;G8V;5,32;5538;4,69;0,03;104,81;17
HD075732;08 52 35.8;+28 19 50.9;G8V;5,95;5336;4,47;0,40;79,80;35
HD170820;18 32 13.1;?19 07 26.3;K0III;7,36;5663;2,00;-0,05;2,34;3
HD222093;23 37 39.6;?13 03 36.9;K0III;5,66;4730;2,78;-0,25;11,50;31
HD164349;18 00 03.4;+16 45 03.3;K0.5IIb;4,67;4383;1,80;-0,22;4,97;36
HD009852;01 37 51.2;+61 51 41.7;K0.5III;?;4750;?;?;?;?
HD165782;18 08 26.5;?18 33 07.9;K0Ia;?;4420;?;?;2,11;?
HD044391;06 22 47.9;+27 59 12.0;K0Ib;7,68;4710;0,60;0,21;1,39;18
HD179870;19 13 53.6;+09 01 59.6;K0II;?;?;?;?;2,62;?
HD100006;11 30 29.0;+18 24 35.2;K0III;5,55;4785;2,67;-0,12;10,03;37
HD145675;16 10 24.3;+43 49 03.5;K0V;6,67;5300;4,27;0,50;55,11;38
HD124897;14 15 39.7;+19 10 56.6;K1.5III;?0.04;4500;2,01;-0,56;88,85;33
HD063302;07 47 38.5;?15 59 26.4;K3Iab/Ib;6,33;4500;0,20;0,17;1,43;18
HD091810;10 37 20.5;+56 25 52.8;K1-IIIb;?;4600;?;?;5,86;?
HD036134;05 29 23.7;?03 26 47.0;K1-III;?;4600;?;?;6,98;?
HD025975;04 08 15.4;+37 43 38.9;K1III;6,09;4941;3,40;-0,2;22,66;39
HD142091;15 51 13.9;+35 39 26.5;K1IVa;4,82;4800;3,37;-0,04;32,13;31
HD165438;18 06 15.2;?04 45 04.5;K1IV;5,74;4862;3,40;0,02;28,31;40
HD010476;01 42 29.8;+20 16 06.6;K1V;5,20;5196;4,50;-0,2;133,91;41
HD023082;03 44 05.8;+44 53 04.9;K2.5II;?;?;?;?;1,16;?
HD002901;00 32 47.5;+54 07 11.8;K2III;?;4420;?;?;3,56;?
HD132935;15 02 04.2;?08 20 40.9;K2III;?;4420;?;?;4,16;?
HD137759;15 24 55.8;+58 57 57.8;K2III;3,31;4490;2,74;0,03;31,92;31
HD212466;22 23 07.0;+55 57 47.6;K2O-Ia;?;?;?;?;1,19;?
HD003765;00 40 49.3;+40 11 13.8;K2V;6,15;5067;4,45;0,10;57,90;42
HD114960;13 13 57.6;+01 27 23.2;K3.5IIIb;?;4000;?;?;6,65;?
HD187238;19 48 11.8;+22 45 46.3;K3Ia0-Ia;7,05;4500;0,80;0,20;2,16;18
HD099998;11 30 18.9;?03 00 12.6;K3.5III;4,77;3920;1,67;-0,39;5,40;31
HD035620;05 27 38.9;+34 28 33.2;K3IIICN+;5,07;4200;2,15;0,11;8,14;31
HD178208;19 05 09.8;+49 55 23.4;K3III;?;4200;?;?;5,59;?
HD221246;23 30 07.4;+49 07 59.3;K3III;?;4200;?;?;3,81;?
HD016068;02 36 52.8;+55 54 55.4;K2;6,29;6427;?;-0,31;?;6
HD219134;23 13 17.0;+57 10 06.1;K3Vvar;6,46;4913;4,51;0,08;153,24;42
HD185622;19 39 25.3;+16 34 16.0;K4Ib;6,38;3990;?;?;1,42;43
HD201065;21 05 35.8;+46 57 47.7;K4Ib-II;?;3950;?;?;1,20;?
HD207991;21 51 55.4;+48 26 13.6;K5Ib;6,88;3777;?;?;2,99;1
HD045977;06 30 07.3;?11 48 32.1;K4V;?;4590;?;?;35,00;?
HD120477;13 49 28.6;+15 47 52.4;K5.5III;4,05;3890;1,55;-0,23;13,29;31
HD216946;22 56 26.0;+49 44 00.7;K5Iab;5,00;4000;0,50;-0,03;1,74;44
HD181596;19 18 30.1;+50 13 39.4;K5III;?;3950;?;?;1,20;?
HD036003;05 28 26.1;?03 29 58.4;K5V;7,64;4465;4,61;0,0;77,03;11
HD003346;00 36 46.4;+44 29 18.9;K6IIIa;?;3900;?;?;4,96;?
HD181475;19 20 48.3;?04 30 09.0;M1II;6,96;3700;?;?;0,65;45
HD194193;20 22 45.3;+41 01 33.6;K7III;?;3850;?;?;3,81;?
HD201092;21 06 55.3;+38 44 31.4;K7V;6,03;4120;4,40;-0,63;285,50;46
HD237903;10 30 25.3;+55 59 56.8;K7V;8,76;4070;4,70;-0,18;91,00;11
HD236697;01 19 53.6;+58 18 30.7;M0.5Ib;?;3600;?;?;1,93;?
HD209290;22 02 10.3;+01 24 00.8;M0.5V;?;3800;?;?;96,98;?
HD213893;22 34 35.9;+00 35 42.6;M0IIIb;?;3800;?;?;3,81;?
HD019305;03 06 26.7;+01 57 54.6;M0V;?;3850;?;?;67,69;?
IRAS14086-0703;14 11 17.6;?07 44 50.0;M10+III;?;3240;?;?;?;?
HD035601;05 27 10.2;+29 55 15.7;M1.5Ia0-Ia;7,32;4000;0,70;-0,24;1,06;18
BD+60-265;01 33 33.1;+61 33 31.0;M1.5Ib;?;3500;?;?;?;?
HD036395;05 31 27.4;?03 40 38.0;M1V;7,92;3742;4,71;0,21;175,72;42
HD014404;02 21 42.4;+57 51 46.1;M1-Iab-Ib;?;3550;?;?;0,06;?
HD339034;19 50 11.9;+24 55 24.2;M1Ia;?;3550;?;?;?;?
HD204724;21 29 56.9;+23 38 19.8;M1III;4,53;3773;?;?;7,37;47
HD039801;05 55 10.3;+07 24 25.4;M1Iab;0,58;3540;0,00;0,00;7,63;48
HD042581;06 10 34.6;?21 51 52.7;M1V;?;3720;?;?;173,19;?
HD219734;23 17 44.6;+49 00 55.1;M2III;4,85;3730;0,90;0,27;4,98;11
Gl381;10 12 04.7;?02 41 05.0;M2.5V;?;3500;?;?;81,23;?
Gl581;15 19 26.8;?07 43 20.2;M2.5V;?;3500;?;?;159,52;?
HD206936;21 43 30.5;+58 46 48.1;M2-Ia;?;3450;?;?;0,62;?
HD010465;01 43 11.1;+48 31 00.3;M2Ib;?;3450;?;?;0,24;?
HD023475;03 49 31.3;+65 31 33.5;M2II;?;3620;?;?;3,38;?
HD120052;13 47 25.4;?17 51 35.4;M2III;5,44;3729;?;?;5,13;47
Gl806;20 45 04.1;+44 29 56.6;M2V;?;3580;?;?;80,01;?
HD095735;11 03 20.2;+35 58 11.5;M2V;7,49;3620;4,90;-0,2;392,50;49
HD014488;02 22 24.3;+57 06 34.4;M3.5Iab;?;3090;?;?;?;?
HD028487;04 29 38.9;+05 09 51.3;M3.5III;?;3580;?;?;4,28;?
Gl273;07 27 24.5;+05 13 33.0;M3.5V;?;3420;?;?;?;?
CD-31-49;07 41 02.6;?31 40 59.1;M3Iab-Ia;?;3550;?;?;-0,53;?
HD040239;05 59 56.1;+45 56 12.2;M3IIb;?;?;?;?;3,88;?
HD039045;05 51 25.7;+32 07 28.9;M3III;?;3530;?;?;5,62;?
HD014469;02 22 06.9;+56 36 15.0;M3-M4Iab;?;3200;?;?;?;?
RWCyg;20 28 50.6;+39 58 54.4;M3toM4Ia;?;3200;?;?;1,28;?
Gl388;10 19 36.3;+19 52 12.0;M3V;?;3470;?;?;?;?
HD204585;21 28 59.8;+22 10 45.9;M4.5IIIa;?;3380;?;?;5,41;?
Gl268AB;07 10 01.8;+38 31 46.0;M4.5V;?;3300;?;?;157,24;?
HD019058;03 05 10.6;+38 50 24.9;M4II;3,42;3500;0,80;-0,15;10,03;50
HD214665;22 38 37.9;+56 47 44.2;M4+III;?;3430;?;?;7,59;?
HD027598;04 20 41.3;?16 49 47.9;M4-III;?;3430;?;?;1,76;?
HD004408;00 46 32.9;+15 28 31.8;M4IIIa;5,42;3522;?;?;5,55;51
Gl213;05 42 09.3;+12 29 21.6;M4V;?;3370;?;?;172,78;?
Gl299;08 11 57.6;+08 46 22.0;M4V;?;3370;?;?;143,00;?
HD094705;10 56 01.5;+06 11 07.3;M5.5III;5,98;3300;1,0;?;10,03;52
HD014386;02 19 20.8;?02 58 39.5;M5e-M9eIII;?;3330;?;?;7,79;?
HD156014;17 14 38.8;+14 23 25.2;M5Ib-II;?;2800;?;?;8,53;?
HD175865;18 55 20.1;+43 56 45.9;M5III;4,20;3420;0,50;0,14;9,33;11
Gl51;01 03 19.7;+62 21 55.7;M5V;?;3240;?;?;95,50;?
Gl866;22 38 33.7;?15 17 57.3;M6;12,18;2747;5,09;?;300,00;11
GJ1111;08 29 49.3;+26 46 33.7;M6.5V;?;2990;?;?;275,80;?
HD069243;08 16 33.8;+11 43 34.4;M6e-M9eIII;?;3240;?;?;-0,27;?
HD018191;02 55 48.5;+18 19 53.9;M6III;5,80;3250;0,30;?;8,08;11
HD196610;20 37 54.7;+18 16 06.8;M6III;6,23;3243;?;?;9,16;53
Gl406;10 56 28.9;+07 00 52.8;M6V;?;3050;?;?;?;?
BRI2339-0447;23 42 02.7;?04 31 05.0;M7-8III;?;3200;?;?;?;?
HD108849;12 30 21.0;+04 24 59.1;M7III:;8,24;2944;?;?;5,68;53
HD207076;21 46 31.8;?02 12 45.9;M8IIIv;6,78;2750;?;?;7,39;11
MY-Cep;22 54 31.7;+60 49 39.0;M7-M7Iab;?;2600;?;?;?;?
Gl644C;16 55 35.3;?08 23 40.1;M7V;?;2940;?;?;154,50;?
IRAS14303-1042;14 32 59.9;?10 56 03.6;M8;?;?;?;?;?;?
IRAS14436-0703;14 46 18.4;?07 15 49.8;M8;?;?;?;?;?;?
IRAS21284-0747;21 31 06.5;?07 34 20.5;M8;?;?;?;?;?;?
IRAS01037+1219;01 06 26.0;+12 35 53.0;M8III;?;3200;?;?;?;?
Gl752B;19 16 57.6;+05 09 02.2;M8V;?;2640;?;?;164,30;?
